"","phase","block","trial","itemtype","category","token","distortion","response","correct","rt","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y","ID","condition"
"1",1,1,1,1,1,9,1,1,1,12859,14,12,2,12,12,10,6,-3,6,0,-4,-6,6,-12,-3,-2,10,-2,1,1
"2",1,1,2,1,3,3,1,2,0,2646,-7,-11,3,-7,11,-14,8,2,-5,4,8,-10,8,-14,12,-9,-11,7,1,1
"3",1,1,3,1,1,7,1,2,0,8378,13,12,-1,11,11,11,5,-1,3,-4,-3,-5,6,-13,-4,-2,10,-2,1,1
"4",1,1,4,1,3,2,1,3,1,2057,-4,-6,4,-4,10,-12,8,2,-14,0,8,-10,9,-15,13,-11,-10,9,1,1
"5",1,1,5,1,3,9,1,3,1,1431,-5,-5,4,-8,10,-13,7,3,-5,4,8,-10,8,-14,12,-10,-11,8,1,1
"6",1,1,6,1,1,6,1,2,0,1036,14,12,1,13,12,11,7,-4,4,-4,-3,-5,6,-13,-3,-2,10,-4,1,1
"7",1,1,7,1,2,5,1,2,1,1459,0,1,8,12,8,16,-1,12,4,-9,-6,20,8,-9,3,5,3,13,1,1
"8",1,1,8,1,2,7,1,1,0,1031,0,0,7,12,9,15,-1,12,4,-8,-9,14,6,-10,1,6,3,14,1,1
"9",1,1,9,1,2,2,1,2,1,989,0,1,9,11,9,15,4,7,5,-8,-9,15,7,-9,1,7,3,15,1,1
"10",1,1,10,1,3,5,1,3,1,1124,-5,-6,3,-7,11,-13,6,4,-4,3,-2,-17,8,-13,11,-9,-13,8,1,1
"11",1,1,11,1,2,8,1,2,1,4327,0,1,8,11,10,14,-6,15,5,-9,-4,20,2,-6,2,6,13,14,1,1
"12",1,1,12,1,1,2,1,2,0,1321,14,12,6,18,11,9,7,-4,4,-4,0,-1,6,-13,-3,-2,11,-4,1,1
"13",1,1,13,1,1,5,1,2,0,1232,14,12,0,12,11,11,6,-3,4,3,-4,-4,6,-13,-3,-2,9,-4,1,1
"14",1,1,14,1,3,4,1,3,1,716,-6,-4,4,-8,10,-14,6,4,-2,-5,9,-8,17,-19,13,-10,-11,8,1,1
"15",1,1,15,1,1,8,1,1,1,717,13,12,0,13,10,14,2,-8,3,-3,-3,-5,6,-15,-6,-2,10,-2,1,1
"16",1,1,16,1,3,1,1,3,1,926,-1,-5,2,-6,9,-17,7,3,-3,4,7,-11,8,-14,13,-10,-11,7,1,1
