"sbjCode","condit","exp","file","Category","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"1","low","mc24","dot_cond1_sub1.txt",1,14,12,1,13,12,11,6,-3,4,-4,-3,-5,6,-13,-3,-2,10,-3
"1","low","mc24","dot_cond1_sub1.txt",2,0,1,8,11,9,15,-1,12,4,-8,-9,15,7,-9,1,7,3,14
"1","low","mc24","dot_cond1_sub1.txt",3,-5,-5,4,-8,10,-13,7,3,-4,5,8,-10,8,-14,12,-10,-11,8
"10","medium","mc24","dot_cond2_sub10.txt",1,11,2,10,14,-9,7,12,7,2,-5,11,-4,10,-2,3,-3,-6,11
"10","medium","mc24","dot_cond2_sub10.txt",2,-4,-6,-1,5,16,0,3,6,11,-3,-8,-3,8,-11,-4,4,15,6
"10","medium","mc24","dot_cond2_sub10.txt",3,7,15,10,13,7,-2,5,-9,-5,-6,-5,5,-8,13,-7,15,13,-3
"100","high","mc24","dot_cond3_sub100.txt",1,12,-7,1,10,-3,2,-14,15,-7,8,8,8,14,-6,12,-13,8,-7
"100","high","mc24","dot_cond3_sub100.txt",2,-5,9,-1,1,-10,3,1,-7,8,11,12,14,-15,-13,-12,15,-7,-9
"100","high","mc24","dot_cond3_sub100.txt",3,-2,-12,14,-7,-7,-9,10,11,-6,8,5,11,15,-2,10,1,6,4
"101","mixed","mc24","dot_cond4_sub101.txt",1,-15,-3,-1,-6,-8,14,12,-1,10,12,-12,7,-13,11,-11,-5,6,-7
"101","mixed","mc24","dot_cond4_sub101.txt",2,2,13,7,3,-9,-14,6,-11,5,11,-12,10,0,1,9,7,8,-7
"101","mixed","mc24","dot_cond4_sub101.txt",3,9,15,7,-11,-8,-14,-13,-1,-4,0,15,4,-15,14,1,-4,8,-4
"102","low","mc24","dot_cond1_sub102.txt",1,13,-5,8,-7,-5,-4,8,-14,1,10,-12,16,0,16,-3,11,9,11
"102","low","mc24","dot_cond1_sub102.txt",2,-5,-14,-2,-1,10,13,-11,14,13,7,10,-5,4,3,10,3,-15,2
"102","low","mc24","dot_cond1_sub102.txt",3,-5,10,8,-13,-4,13,-13,-2,3,-15,6,-3,-8,6,14,-6,3,-6
"103","medium","mc24","dot_cond2_sub103.txt",1,-1,-14,-11,-6,-14,-2,6,15,-5,7,9,-8,-14,9,6,-1,15,2
"103","medium","mc24","dot_cond2_sub103.txt",2,14,-2,-1,4,-2,-11,6,13,3,12,-4,10,-2,-2,16,-14,10,4
"103","medium","mc24","dot_cond2_sub103.txt",3,12,8,-12,-1,-14,-7,-4,-4,9,-8,14,-6,-1,-4,12,-10,-8,-3
"104","high","mc24","dot_cond3_sub104.txt",1,15,-7,13,-11,-7,-14,1,-9,2,4,11,14,-11,5,15,-13,-15,-13
"104","high","mc24","dot_cond3_sub104.txt",2,-4,-11,-15,1,-13,14,-12,2,10,10,-4,-14,6,-9,-5,7,2,0
"104","high","mc24","dot_cond3_sub104.txt",3,12,7,-10,-1,3,6,-3,-7,-4,8,-9,11,-10,-5,-4,-1,11,-13
"105","mixed","mc24","dot_cond4_sub105.txt",1,14,10,-14,-4,-5,5,1,-7,-10,-7,-10,-2,3,13,2,-4,-5,-6
