"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"sub399","medium","high","new_high",1,1,1,1013,-25,-12,10,-3,5,-11,-9,-5,-13,7,-7,-1,24,-12,6,-13,9,7
"sub399","medium","high","new_high",1,1,1,1270,-25,-9,7,-3,8,-8,-16,-4,-6,18,-4,-2,18,-15,10,-12,3,-1
"sub214","medium","high","new_high",1,1,1,1026,-25,-8,-13,-11,-4,-15,-11,14,16,-20,3,1,21,14,-8,-9,1,-8
"sub297","mixed","high","new_high",1,1,1,1057,-25,-4,-11,12,4,-13,-12,-15,17,-1,-13,11,-8,-2,-16,-2,5,7
"sub109","mixed","high","new_high",3,3,1,750,-25,-1,12,13,3,11,-9,-6,3,14,2,6,-3,5,0,9,-1,-13
"sub321","mixed","high","new_high",2,1,0,626,-25,0,-5,1,-10,-13,11,-14,-11,5,19,-10,-13,-12,-9,4,-6,-4
"sub285","mixed","high","new_high",1,1,1,1736,-25,3,-9,-5,13,6,-5,12,0,-24,12,3,-1,-9,-9,-12,3,0
"sub109","mixed","high","new_high",3,3,1,607,-25,4,16,17,3,10,-10,-1,4,8,2,16,-6,3,-3,8,-9,-6
"sub9","low","high","new_high",1,2,0,2973,-25,15,-6,3,-20,3,-3,10,-3,-5,6,14,-12,15,0,-8,3,-5
"sub214","medium","high","new_high",1,1,1,846,-24,-18,-7,-4,0,-5,-8,13,12,-12,-6,3,10,16,-13,-11,-3,-10
"sub88","high","high","old",3,3,1,456,-24,-16,11,3,1,11,12,-12,-14,-3,-13,-14,-6,17,-9,14,-17,22
"sub65","low","high","new_high",2,3,0,2029,-24,-13,0,2,-5,-11,8,0,-2,-11,-13,0,-3,12,-3,-7,7,24
"sub22","medium","med","old",1,1,1,4709,-24,-12,-9,2,5,-10,4,6,-3,10,-8,-1,-3,-6,-6,-15,8,-6
"sub65","low","high","new_high",2,3,0,3901,-24,-9,1,-9,0,-12,9,-13,6,-1,-7,-5,-14,6,-3,-5,4,16
"sub311","medium","high","new_high",3,2,0,2473,-24,-8,-9,-18,18,-10,-4,4,-5,-3,-2,-13,4,9,3,-10,-5,-12
"sub380","high","high","new_high",2,3,0,3566,-24,-6,16,6,7,-16,2,14,20,0,7,6,-1,3,20,12,5,-8
"sub65","low","high","new_high",2,3,0,5795,-24,-3,-4,-2,-8,-20,20,-5,-6,-5,-9,-4,-15,12,-3,-7,3,18
