"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"1.low","1","low",1,"prototype","dot_cond1_sub1.txt",1,1,"1_low_1_295"
"1.low","1","low",1,"old","dot_cond1_sub1.txt",99,0.717171717171717,"1_low_1_295"
"1.low","1","low",1,"new_low","dot_cond1_sub1.txt",3,0.666666666666667,"1_low_1_295"
"1.low","1","low",1,"new_med","dot_cond1_sub1.txt",6,0.666666666666667,"1_low_1_295"
"1.low","1","low",1,"new_high","dot_cond1_sub1.txt",9,0.444444444444444,"1_low_1_295"
"1.low","1","low",2,"prototype","dot_cond1_sub1.txt",1,1,"1_low_2_336"
"1.low","1","low",2,"old","dot_cond1_sub1.txt",99,0.858585858585859,"1_low_2_336"
"1.low","1","low",2,"new_low","dot_cond1_sub1.txt",3,1,"1_low_2_336"
"1.low","1","low",2,"new_med","dot_cond1_sub1.txt",6,0.666666666666667,"1_low_2_336"
"1.low","1","low",2,"new_high","dot_cond1_sub1.txt",9,0.777777777777778,"1_low_2_336"
"1.low","1","low",3,"prototype","dot_cond1_sub1.txt",1,1,"1_low_3_320"
"1.low","1","low",3,"old","dot_cond1_sub1.txt",99,0.909090909090909,"1_low_3_320"
"1.low","1","low",3,"new_low","dot_cond1_sub1.txt",3,1,"1_low_3_320"
"1.low","1","low",3,"new_med","dot_cond1_sub1.txt",6,1,"1_low_3_320"
"1.low","1","low",3,"new_high","dot_cond1_sub1.txt",9,0.777777777777778,"1_low_3_320"
"10.medium","10","medium",1,"prototype","dot_cond2_sub10.txt",1,1,"10_medium_1_299"
"10.medium","10","medium",1,"old","dot_cond2_sub10.txt",99,0.676767676767677,"10_medium_1_299"
"10.medium","10","medium",1,"new_low","dot_cond2_sub10.txt",3,1,"10_medium_1_299"
"10.medium","10","medium",1,"new_med","dot_cond2_sub10.txt",6,0.833333333333333,"10_medium_1_299"
"10.medium","10","medium",1,"new_high","dot_cond2_sub10.txt",9,1,"10_medium_1_299"
"10.medium","10","medium",2,"prototype","dot_cond2_sub10.txt",1,0,"10_medium_2_330"
"10.medium","10","medium",2,"old","dot_cond2_sub10.txt",99,0.383838383838384,"10_medium_2_330"
"10.medium","10","medium",2,"new_low","dot_cond2_sub10.txt",3,0.666666666666667,"10_medium_2_330"
"10.medium","10","medium",2,"new_med","dot_cond2_sub10.txt",6,0.166666666666667,"10_medium_2_330"
"10.medium","10","medium",2,"new_high","dot_cond2_sub10.txt",9,0.333333333333333,"10_medium_2_330"
"10.medium","10","medium",3,"prototype","dot_cond2_sub10.txt",1,0,"10_medium_3_285"
"10.medium","10","medium",3,"old","dot_cond2_sub10.txt",99,0.262626262626263,"10_medium_3_285"
"10.medium","10","medium",3,"new_low","dot_cond2_sub10.txt",3,0,"10_medium_3_285"
